"ProbeID","All_Effect_Random","UCSC_RefGene_Names"
"cg13966843",0.0298064371745168,"C6orf10"
"cg04688450",-0.0297901411852716,"HLA-DRB6"
"cg25013753",0.0297634236702453,"ARHGAP22"
"cg06880438",-0.0296799388978483,"FBXL14"
"cg14655569",-0.0294690199480697,"BICD2"
"cg13251750",-0.0293019668326087,"SERPINA9"
"cg26512469",0.0292771844638159,"MCF2L"
"cg00722631",0.0292567456981893,"SNORD123"
"cg24969496",-0.0288824017545336,"HLA-DQA1"
"cg01127608",0.0287737439038883,"LMX1B"
"cg07480176",0.0287199107899038,"CASD1"
"cg10662047",-0.0285790012503832,"GRAMD1B"
"cg17204288",-0.0284824943050303,"GAGE2A"
"cg11164659",-0.0284198504856899,"RHPN1"
"cg23764766",0.0284068099394486,"ERC1"
"cg23214071",0.0284014922699344,"HLA-DQB1"
"cg07844442",0.0283614827983267,"DOCK1"
"cg05471616",-0.0282458932952894,"TMTC1"
"cg07240846",-0.02813762419034,"CAMK1D"
"cg25372449",-0.0281370538341662,"HLA-DRB5"
"cg08145292",-0.0278280250347214,"KCNQ5"
"cg12967864",-0.0277802622011102,"MBOAT7"
"cg10117599",-0.0276896313599402,"PRKAR1B"
"cg00243527",0.0275869196777769,"LIF"
"cg05280794",0.0274155463038292,"ABR"
"cg10553204",-0.0273405902600631,"GDF7"
"cg00124902",0.0273118216739413,"C1orf94"
"cg07495405",0.0272410071619139,"FHOD3"
"cg15627180",0.0271810603372335,"TMPRSS4"
"cg01012836",-0.0270253279103566,"TMEM132B"
"cg08624915",0.0269432316146897,"AHSP"
"cg12551908",-0.0269292606793014,"STAG3L4"
"cg17348244",-0.0268153214849855,"HEATR2"
"cg09993319",-0.0267758299491379,"MGMT"
"cg13862711",-0.02671594619375,"LHX6"
"cg22276800",0.0266737939016412,"HK2"
"cg21388339",0.0266058585315545,"TP73"
"cg24629545",0.0265767560022783,"MAD1L1"
"cg14780466",-0.0265689470435977,"GDF7"
"cg18172516",0.0265537674844552,"RBMS1"
"cg01238044",-0.0264438952438364,"GSTT1"
"cg02301920",0.0263738072857075,"CES1"
"cg05481257",-0.0262533045120509,"GDF7"
"cg02355809",-0.0262123883684192,"GIMAP1"
"cg20459037",0.0261950797718428,"WDR16"
"cg10982913",-0.0261858748852869,"HLA-DQB1"
"cg10920758",0.0261266406651049,"KNDC1"
"cg21220721",0.0260684275619294,"ACOT7"
"cg24697433",0.0260017259976665,"TRIM27"
"cg09120722",0.0259776631672946,"SORBS2"
"cg14900909",-0.0258325182919993,"SORCS2"
"cg20022541",0.0257481007793681,"FAM181A"
"cg25755428",0.0256225236490123,"MRI1"
"cg17763566",0.0255869600213617,"HLA-DPB2"
"cg10064060",-0.0255727949535701,"C16orf45"
"cg24080129",0.0255682169625679,"TAP2"
"cg01395541",-0.0255051017816616,"SPDEF"
"cg09084244",-0.0254709064178072,"CDK2AP1"
"cg08238375",-0.0253067275765267,"MCC"
"cg17416644",-0.0252388809728149,"BRSK2"
"cg05730108",0.0252263613920253,"FARP1"
"cg04173586",0.025056878441986,"DOT1L"
"cg05990366",0.0249858210550647,"FAM101A"
"cg19389973",-0.0249532987528854,"AOAH"
"cg06767339",-0.0249041768254258,"LGI3"
"cg27086157",0.0248520059193658,"RASA3"
"cg11404906",0.0248285770178182,"HLA-DRB1"
"cg13871921",0.0247956299860548,"ANAPC2"
"cg05331763",0.0247674287310981,"FOXK2"
"cg26542892",0.0247493462549755,"C7orf50"
"cg05575921",-0.0247169892435864,"AHRR"
"cg17821453",-0.0247048611339471,"OMA1"
"cg13573375",-0.0246485653910257,"PIAS4"
"cg02288345",-0.0246433200123387,"MYO10"
"cg01081438",0.0245417294329599,"BRDT"
"cg16303048",-0.0244583447197396,"NID2"
"cg22237644",0.0244462928869727,"TRANK1"
"cg05867245",-0.0243424291790012,"ZBTB46"
"cg07876831",0.0241823184130433,"TMCO3"
"cg13569207",0.0241759621064,"ZNF862"
"cg09074113",-0.0241157957957656,"GDF7"
"cg22635676",0.0240545251163124,"SNED1"
"cg01128042",0.0240057828722335,"CASP7"
"cg21885112",0.0239103113258185,"C7orf29"
"cg13768055",0.0238584951337477,"RPH3AL"
"cg01778345",-0.0238561828462331,"GDAP2"
"cg24801230",0.0236903897514202,"MAPT"
"cg08476485",-0.023625778824068,"SEMA5B"
"cg07755735",-0.0236088217753135,"GDF7"
"cg26642774",-0.0235891688804062,"IL12RB1"
"cg14271023",0.023531933031287,"MLPH"
"cg24872173",-0.0235221638830627,"HPS5"
"cg21467828",-0.0235134538635967,"RGMA"
"cg03959986",0.0234900912398704,"SMG6"
"cg18624102",-0.0234592315254223,"FBXO27"
"cg06118351",-0.0233923316627577,"C16orf71"
"cg05084668",-0.0233630634272134,"ALG1L"
"cg10738003",-0.0233082594742955,"ARHGEF12"
"cg12087615",0.023298286599515,"KRT1"
"cg04282082",-0.0231975150480727,"LHX6"
"cg11574174",-0.0230998681758226,"HLA-C"
"cg14762436",0.0230810420521162,"OSBPL3"
"cg04922606",0.0230638309327498,"FAM120B"
"cg15247483",-0.0230580486739049,"GCET2"
"cg04610028",-0.0230407599554555,"RAB11B"
"cg20089799",-0.0230168477507249,"TSPAN9"
"cg18052547",-0.0230162508832876,"HLA-DRB1"
"cg03900028",0.0229837684406307,"ZNF117"
"cg13913990",0.0229710412399656,"PLEKHG4B"
"cg08253809",-0.0227665321136731,"C14orf119"
"cg08891829",-0.0226975854378064,"SRD5A3"
"cg19539986",0.0226854667417416,"SNX6"
"cg13564529",0.0226709639872007,"VAV2"
"cg14615128",0.0226298269700404,"GRID2IP"
"cg22710716",0.0225771897714503,"NT5DC2"
"cg01055691",0.0225315930525724,"GAP43"
"cg08657228",0.0225070727810487,"DEFB128"
"cg03657281",0.0224611668356708,"SLC22A23"
"cg18662228",0.0224046036122748,"AGAP1"
"cg21469772",-0.0224028882463892,"LHX6"
"cg24753094",-0.0223728903278392,"THSD4"
"cg19504860",0.0223172380883611,"ZNF708"
"cg05093818",0.0222250033596386,"MAPK10"
"cg12213037",-0.0221944787917757,"SLC35E2"
"cg02246922",-0.0221299651502929,"OR12D3"
"cg13989295",0.0221228042745123,"SKA2"
"cg21272897",-0.0221211196843226,"HSPG2"
"cg06653140",0.0220973651542001,"SKP2"
"cg10989317",0.0220459824065934,"UBTD1"
"cg25614253",-0.0220401793758519,"BAI1"
"cg14373797",0.0219859254487783,"HLA-DPB1"
"cg07882838",-0.0219857423959638,"SMAD3"
"cg08198851",-0.0219553790497557,"BMP6"
"cg20592836",0.0219307672687308,"TP53INP2"
"cg00640120",0.0219301660078931,"CYB561"
"cg02351362",-0.0218987719713031,"SHBG"
"cg27141850",-0.0218564749235257,"GDF7"
"cg24851651",-0.0218398187806055,"CCS"
"cg12562822",0.0218255346754588,"SLC6A19"
"cg04132418",0.0218227593432706,"LOC285733"
"cg08320316",-0.021811220304036,"RNF216"
"cg00729708",-0.021796214714804,"LASS3"
"cg16440561",0.0217788568389545,"SPEG"
"cg08914678",-0.0217692964412575,"PDIA2"
"cg03084184",0.021751006961626,"JAKMIP3"
"cg14179288",-0.0217136448745265,"TLE4"
"cg10852718",-0.0216938448491389,"LOC100130872-SPON2"
"cg26287822",-0.0215962531872301,"ZCCHC16"
"cg27308738",0.0215911683564954,"SH3PXD2A"
"cg05696877",0.0215838958615538,"IFI44L"
"cg16373817",0.0215591674509185,"PALLD"
"cg03075889",-0.0215247235342503,"MAD1L1"
"cg11657665",-0.0214983614060862,"AP1M2"
"cg15600437",-0.0214866231703523,"MFAP2"
"cg14114910",0.0214830393370713,"MORN5"
"cg10993865",0.0214112770552901,"CARS2"
"cg21367586",-0.0213653986237488,"FHOD3"
"cg09937190",-0.021354098505308,"MACROD2"
"cg09382842",-0.0213476553156346,"HLA-C"
"cg04579183",0.0213215386489332,"NCRNA00052"
"cg06139006",0.021304729247197,"GALNT9"
"cg07878625",0.0212478349800087,"ZNF783"
"cg26076233",-0.021213765489897,"DYNLL1"
"cg03444934",-0.0210878586069064,"CDH13"
"cg00106621",0.021068481015032,"ICA1"
"cg11424828",-0.0210373198224144,"MYOM2"
"cg17271269",0.02102673424239,"RPLP0P2"
"cg27659796",-0.0210071762133959,"ABR"
"cg04026937",-0.0209982763215464,"HLA-DRB1"
"cg20231299",-0.0209770710808765,"FUT2"
"cg10146442",0.0209632494595306,"UNC84A"
"cg00320354",0.0209626809524078,"TSPAN5"
"cg21046080",0.020949154840405,"GPR133"
"cg25771854",-0.0209427470894049,"VN1R5"
"cg25140213",-0.0209346368338745,"HLA-DRB6"
"cg26278987",-0.0209035943682696,"C4orf50"
"cg05308244",-0.0208990646767292,"RIMBP2"
"cg04506342",-0.0208808991281466,"BAZ2B"
"cg14168080",-0.0208241997073451,"PTPRN2"
"cg17906851",-0.0207893518115237,"RPTOR"
"cg06870118",0.0207878252831566,"TTLL3"
"cg07052950",0.0207710567829696,"DOK5"
"cg08355157",0.0206846330152811,"LOC154822"
"cg11070193",-0.0206612131711676,"CATSPER4"
"cg11949518",0.0206589304646493,"RPTOR"
"cg16191297",-0.0206231188551578,"TRAPPC9"
"cg07258715",0.0205785371276693,"TMEM40"
"cg10788927",0.0205643773879235,"COL6A1"
"cg12466610",-0.0204791901301463,"MOSC2"
"cg25465065",0.020463222743501,"PMF1"
"cg18698799",-0.0204631092791833,"C6orf10"
"cg12543766",-0.0204440932014246,"MAGI2"
"cg26217827",-0.0204357819296921,"ITGA11"
"cg13005428",-0.0204328537838268,"RPTOR"
"cg09866143",-0.020296907553323,"SLC12A8"
"cg00122779",-0.02027262119055,"TNXB"
"cg19080354",-0.0202149377616804,"ATHL1"
"cg14859874",-0.0201811291217367,"UBAP2L"
"cg06225639",-0.020166000260604,"PSD4"
"cg12307373",0.0201390651827026,"DYNC2H1"
"cg09737095",0.0201145693330989,"KCNJ5"
"cg08002427",0.0200918162371871,"DNAH9"
"cg01957222",0.0200378316793469,"TPO"
"cg11854073",0.0200284312527726,"SLC9A10"
"cg11082635",0.0200283458935073,"RPS6KA2"
"cg26889659",-0.0199961697202173,"EXOC2"
"cg04627110",-0.0199712273219855,"MOG"
"cg25958911",-0.0199441528038067,"BOP1"
"cg25010115",0.0199164837244968,"MYADML2"
"cg04888234",0.0199148438375329,"FCRLA"
"cg05519582",0.0199076566338821,"GRAMD4"
"cg09247979",0.0198752479714409,"PTPRK"
"cg08684066",-0.0198687171287911,"HERC6"
"cg24754223",-0.0198397607289263,"PFKP"
"cg12035144",0.0197718476058222,"LOC285830"
"cg14645244",0.0197674176332735,"HLA-DRB1"
"cg15210622",-0.0197302873702138,"PPP2R3A"
"cg00045070",0.0197138867115951,"PCSK9"
"cg05813498",-0.0196814918090827,"GAA"
"cg00704664",-0.0196495634214059,"CDH4"
"cg24398793",0.0196441138436713,"MEOX2"
"cg04388792",-0.0196390344785337,"ZNF490"
"cg00218628",-0.019634497679078,"DDX11"
"cg24167747",-0.0196101954660494,"TFPT"
"cg21864016",-0.0195672799330009,"C14orf132"
"cg09727210",-0.0195643628177569,"CARD11"
"cg26846609",0.0195534351507386,"THUMPD1"
"cg04263740",0.0195508137377349,"VKORC1L1"
"cg22953510",0.0195403191476302,"ZBTB20"
"cg16060930",-0.0195330543785256,"PTGFRN"
"cg18847598",0.0195249031797041,"ASAM"
"cg03403996",0.0194553864314864,"TRIM31"
"cg25203245",0.0194097821707631,"FLJ32810"
"cg08225549",0.0193648552275496,"STMN2"
"cg24846009",-0.019331425110577,"IGSF21"
"cg07304760",0.0193180919089565,"SND1"
"cg24569831",-0.0193061965064621,"RGMA"
"cg05825244",0.0193043645687235,"EBF4"
"cg04464523",-0.0192821120904634,"PARP11"
"cg19405842",0.0192533089181992,"PRKCZ"
"cg08269402",-0.0192457402371946,"HLA-DRB1"
"cg25709790",0.0191662253145653,"DFNA5"
"cg02945674",0.0191296837800286,"ABCA1"
"cg21918548",-0.0191085771828233,"ZNF251"
"cg09663736",-0.0190906017855871,"NTM"
"cg03643559",0.019080954740219,"IKZF5"
"cg18828306",-0.0190089232843183,"USH1C"
"cg08238319",0.018978099081988,"AHRR"
"cg13064658",0.0189763206046892,"LPGAT1"
"cg01234546",-0.0189551871903988,"PLXNB2"
"cg01294327",-0.0189497028201587,"LINGO3"
"cg02702444",0.018945548626871,"KAL1"
"cg21838924",0.018935067200851,"CLDN4"
"cg05416337",0.018933291796287,"DCC"
"cg13571460",-0.0189174592237798,"LHX6"
"cg21293934",0.0189101176713186,"ANKRD30B"
"cg17600943",0.018900551663008,"CPO"
"cg04248279",0.018875489673992,"RPH3AL"
"cg16954525",-0.0188511366496683,"MS4A4A"
"cg04983687",0.0187922577780621,"ZFPM1"
"cg03787837",-0.0187785130256605,"HLA-DQA1"
"cg15847845",0.0187701368372522,"PLEC1"
"cg17749961",0.0187155230501492,"LCLAT1"
"cg21608225",-0.0187070461282318,"PDE4DIP"
"cg03372334",0.0187002912716452,"MBNL2"
"cg00689685",-0.0186792131737284,"AGPAT1"
"cg01891583",-0.0186653364644105,"USP7"
"cg11309454",0.0186580380226107,"CCBL2"
"cg24861747",-0.0186564542334134,"SLC6A18"
"cg19272349",-0.0186545792998325,"CSNK1A1L"
"cg11917734",-0.0186434310504798,"HLA-C"
"cg23392381",-0.0186053073325763,"CTNNA2"
"cg20415053",-0.0185855837522034,"CATSPER4"
"cg23126342",-0.0185849806627628,"PCDH9"
"cg20218135",0.0185833559556334,"ABHD8"
"cg23303505",0.0185722341900427,"HLA-A"
"cg18105999",0.0185643418441319,"PALM"
"cg11268327",-0.0185335122256075,"MICA"
"cg17187785",0.0185254747563768,"NTM"
"cg24200960",0.0185106344668372,"SPRED2"
"cg27079096",0.0185056948013659,"OR52B4"
"cg24955955",0.0184346155722816,"AHRR"
"cg18849725",0.0184251632965925,"PCDH12"
"cg01331196",0.0184242686851607,"HRH1"
"cg10890644",0.0184011452037742,"TUBAL3"
"cg07389699",-0.0183953474145131,"HLA-DQB2"
"cg19142026",-0.0183710289136774,"HOXA4"
"cg06995503",0.0183596473235486,"PFKP"
"cg26995506",-0.0182984711988403,"ZEB2"
"cg26504421",0.0182920844360745,"SDK2"
"cg19787013",-0.0182741080958783,"RECQL4"
"cg13111532",0.0182628172623173,"KIAA1751"
"cg10695549",-0.0182212574667604,"PSD3"
"cg18816122",0.0182209396284903,"PLEKHG4B"
"cg13748354",-0.0182003517070603,"NUDT1"
"cg17004290",0.0182000875239193,"CYP2U1"
"cg19759847",0.0181860861439181,"MKS1"
"cg19245335",0.0181432136628941,"PRDM15"
"cg07550684",0.018136530323268,"EIF3B"
"cg22337626",-0.0181173734344735,"MAST2"
"cg02464073",0.0180922828624254,"ITGB2"
"cg14815891",0.0180759010533641,"FRG1B"
"cg23187802",0.0180690018938988,"ZCCHC24"
"cg06513375",-0.017995632977575,"ZNF251"
"cg20803293",0.0179840595805318,"GSTM5"
"cg12334488",-0.0179578711302241,"GDF7"
"cg15652532",0.0179496816938663,"LCLAT1"
"cg10288111",-0.0179403079474068,"IFRD1"
"cg05704942",-0.0179197251772486,"MRTO4"
"cg09715285",0.0178902927445796,"GLB1L"
"cg00424152",0.0178607945217898,"B3GNT7"
"cg07883662",-0.0178562174486442,"CLPS"
"cg20775316",-0.0178554166361668,"SSBP3"
"cg21847720",-0.0178493754501262,"MYOM2"
"cg19311470",-0.0178460754710827,"RPL9"
"cg16999994",0.0178321821094944,"AP2A2"
"cg23732978",0.0178258549353025,"GNASAS"
"cg19504089",-0.0178243355018098,"LOC728989"
"cg20860642",-0.0178188207187733,"TLR7"
"cg15421137",0.0177934268242981,"FAM114A2"
"cg13655986",0.0177727995303952,"DOCK1"
"cg12624040",0.0177083689572378,"B3GALT1"
"cg21036007",-0.017701109571323,"HLA-DQB1"
"cg26850117",-0.0177006805226679,"C6orf208"
"cg01341801",-0.0176024183491341,"HLA-DRB5"
"cg10985055",0.0175914101874607,"TRIM26"
"cg20536971",0.0175893040272505,"PCCA"
"cg20064778",-0.017566489390531,"GSTT1"
"cg07251788",-0.0175603832501929,"CLTCL1"
"cg15634083",-0.0175050704330123,"HLA-C"
"cg04145681",-0.0174912560058713,"SFTA2"
"cg22864244",0.0174893661783284,"GSTM5"
"cg26642960",-0.0174866749823985,"LILRA6"
"cg01630032",-0.0174201083570567,"WWOX"
"cg14150973",0.0173649020514165,"SERTAD3"
"cg05509228",-0.0173548076597449,"SMOC2"
"cg16241932",-0.0173534180512374,"ZDHHC14"
"cg15138543",0.0173433403538085,"IDUA"
"cg03226844",0.0173431823783203,"RPH3AL"
"cg09434603",0.0173353689396729,"SLC9A3"
"cg19832721",-0.0173258577892049,"KIAA1267"
"cg08542066",-0.017325270580487,"CPA6"
"cg09411910",0.0173135295645091,"HLA-DQA1"
"cg25049941",0.0172876325381522,"HLA-DQB2"
"cg08997352",-0.0172837044190267,"DDX12"
"cg15198148",-0.0172631757525418,"FAAH"
"cg12259892",-0.0172532683107381,"CPLX4"
"cg23024343",-0.0172373949957718,"COG5"
"cg01227445",-0.0172276061425121,"RPL13P5"
"cg03748376",0.0171819807849746,"OR2L13"
"cg13085030",0.0171780188743777,"C7orf50"
"cg13462557",-0.0171577852357435,"INADL"
"cg25420101",0.0170913839737231,"WDR41"
"cg17878899",-0.0170818437043781,"KIAA1210"
"cg10358248",0.0170799704263318,"CRLF1"
"cg13078798",0.0170761234050612,"TGFBR3"
"cg09249800",0.017075976338752,"ACOT7"
"cg19092981",0.0170307186125023,"TBX1"
"cg15392147",-0.0170162582899797,"OR5A1"
"cg07629776",-0.017016042753452,"FRMD4A"
"cg06590444",0.016968253814555,"ACPT"
"cg21406402",0.0168986494333079,"LOC84931"
"cg02379549",-0.0168905134682962,"C6orf89"
"cg20904336",-0.0168838405898264,"DEGS2"
"cg23169584",0.0168761899574063,"EXOC4"
"cg01462799",-0.0168470875697026,"UPF1"
"cg24867790",-0.0167966078970041,"NPHS2"
"cg07741840",-0.0167941357658744,"KDM2B"
"cg10604476",0.0167915032010859,"ICAM5"
"cg05522042",0.0167857347522223,"KIAA0513"
"cg16677019",-0.0167847950043843,"WNT3"
"cg05751055",0.0167840966417385,"HLA-DPA1"
"cg13979581",0.016764485874145,"GCC1"
"cg12798853",0.0167448131209939,"ERCC6"
"cg16474696",0.0167347662070887,"MRI1"
"cg05237503",0.016685224257031,"FBXO3"
"cg17220055",-0.016609429419051,"HIVEP3"
"cg24730756",0.0165655465831394,"LOC100292680"
"cg05376982",0.016556663554553,"GSTM5"
"cg14839256",0.016543208359072,"DEFB104B"
"cg20060108",0.016541834563681,"IL1RL1"
"cg16364629",-0.0165405979318946,"WDR82"
"cg03040740",0.016524127754987,"FARP1"
"cg14252149",-0.0165092286519882,"LGALS8"
"cg25066665",0.0164698867546766,"RPRD2"
"cg25542007",-0.0164640869754048,"NOX4"
"cg23719124",0.0164589824794888,"GSTM5"
"cg11144103",0.0164558569030342,"PTRF"
"cg12894711",-0.0164539410909968,"BLVRA"
"cg23627354",0.0164468228287072,"CCBL2"
"cg00033213",0.0164370975608381,"TOP1MT"
"cg20674490",-0.0164307736838483,"RUNX3"
"cg13431688",-0.0164226854642238,"TGFBR1"
"cg21243064",-0.0164014019292724,"SEC16A"
"cg07456585",0.0163449825410759,"VSX2"
"cg21869609",-0.0163437649137026,"LINGO3"
"cg03607951",0.0163347599928881,"IFI44L"
"cg26162637",0.0163176010551349,"RELN"
"cg16471877",-0.0163064305093565,"COQ3"
"cg25347356",-0.0162751346730772,"ARHGAP18"
"cg09438069",-0.0162587868134508,"FAT1"
"cg18346634",0.0162575595592272,"OPRD1"
"cg00532122",0.0162557442299085,"TMEM165"
"cg04169610",0.0162181345759227,"SERHL2"
"cg24833027",-0.0162165845507216,"ARHGEF10"
"cg22349387",-0.0161991307821721,"DDX12"
"cg07314988",-0.0161964421074669,"ATHL1"
"cg00259046",0.0161276390871345,"LOC441601"
"cg10879348",-0.0161067244869401,"LIMS1"
"cg24654266",-0.0161059641279526,"DPP10"
"cg11960243",-0.0160969603656422,"COL11A2"
"cg15473904",0.0160852250274358,"MRPL41"
"cg16006841",-0.0160840627290709,"RGS14"
"cg03812172",-0.0160603931785078,"GCK"
"cg00744351",0.0160427258495617,"CHRNE"
"cg25593510",0.0160092059860354,"GSTM5"
"cg09533869",0.0159905430346808,"PGCP"
"cg09497409",-0.0159739770698513,"LASS4"
"cg10931884",-0.0159601465731145,"KCNIP1"
"cg07134368",-0.0159468598406552,"TSNAX-DISC1"
"cg02401352",0.0159416897154301,"ACAN"
"cg07442271",-0.0159301742816138,"PCDHGA2"
"cg11437465",0.0159155917734461,"HLA-DPA1"
"cg26964592",0.0159138178982584,"HLA-DMB"
"cg13143872",0.0158975504816432,"C2orf69"
"cg08916839",0.0158387294627232,"AHRR"
"cg17056069",0.0158305219026964,"ASAP2"
"cg11680055",0.0158119659587566,"GSTM1"
"cg24389386",-0.0157964151375094,"HLA-H"
"cg03295554",-0.0157860331597096,"ETS1"
"cg04134748",-0.0157643399081462,"PRDM16"
"cg07497663",-0.0157225564917581,"TRIM31"
"cg13401893",0.0157138767873803,"RNF39"
"cg06855422",0.0156910627693346,"GRID2"
"cg17670013",0.0156889911490955,"GRAMD3"
"cg08944170",0.0156846532604688,"OR2L13"
"cg23066280",0.0156765511545611,"PTPRN2"
"cg10058204",0.0156759652255509,"FLJ37201"
"cg06344265",0.0156655899791797,"GRIK4"
"cg06824157",0.0156551905895566,"TRIO"
"cg18865685",0.0156389441872422,"ASTN1"
"cg10771931",0.0156288186799261,"WTIP"
"cg16570885",0.0156188779152417,"IGF2BP2"
"cg24765783",-0.0156093637577141,"ARID3A"
"cg01013522",0.0155459957277126,"CNTNAP5"
"cg05875700",-0.015542404058115,"ERICH1"
"cg17901584",-0.0154940379180724,"DHCR24"
"cg05891136",0.0154930294287484,"MYOM2"
"cg21211688",0.0154925956262818,"ADAMTSL2"
"cg23352942",-0.0154920947282677,"PTH1R"
"cg09864671",-0.015482610798447,"DIDO1"
"cg24194775",-0.0154720325579485,"NPR2"
"cg03028786",-0.0154458705381197,"SERPINE2"
"cg20302533",-0.0154386623843474,"POU6F2"
"cg18997918",-0.0153928300189438,"SFRS8"
"cg13183651",-0.0153435177044992,"KRTAP3-3"
"cg08899523",-0.0153351649118957,"FGFR2"
"cg03363289",-0.0153261161063301,"LHX6"
"cg24634471",0.0153161629543222,"JRK"
"cg14018363",-0.0153148228392649,"HLA-A"
"cg14785464",0.0153053602980332,"HLCS"
"cg06426293",0.0152873330065641,"SYTL3"
"cg20507276",0.0152277266892682,"OR2L13"
"cg10306192",-0.0152247951436586,"MMP27"
"cg00762003",0.015223500492893,"AGPAT3"
"cg27171569",-0.0152117686110932,"OSGIN1"
"cg11699125",0.0151906804331517,"ACOT7"
"cg20364183",-0.0151850270882201,"LSAMP"
"cg26105558",0.0151732110952545,"GCNT7"
"cg00378510",-0.015162048920236,"LINGO3"
"cg16398051",0.0151365501174991,"ADAMTS17"
"cg00255919",-0.0151015779223055,"IRF1"
"cg21209485",-0.0150962717323023,"MMEL1"
"cg06737308",0.0150948064923597,"ENPP6"
"cg02823329",0.0150945966760604,"PIK3R5"
