"ProbeID","beta_auto","UCSC_RefGene_Names"
"cg26882525",0.00444930422733458,"SLC36A3"
"cg00608661",0.00444065112489233,"CHST11"
"cg25414605",-0.00443568192857193,"ATPGD1"
"cg00921097",0.00443358442322451,"GPR37L1"
"cg03693099",0.00441781784503647,"CEL"
"cg00903154",-0.00441387349476217,"ZNF174"
"cg04622454",0.00439322341124104,"NELF"
"cg12524168",0.00439270719287666,"F2R"
"cg00755980",0.00439166465156869,"C10orf107"
"cg06398335",0.0043899639179654,"PCCA"
"cg04203508",0.00438263987533619,"ATF3"
"cg22768222",0.00436919988971158,"RUNX2"
"cg25087851",0.00436748731916961,"GPR44"
"cg14206516",0.00436637467214034,"TNN"
"cg05044778",0.0043647205869683,"PLXNA1"
"cg15108641",0.00435921979949385,"UBTD1"
"cg13409170",0.00435825441268789,"NR6A1"
"cg27195326",0.00435717172378443,"CNTN1"
"cg16809457",0.00434576614744539,"MDN1"
"cg01856509",0.00433840501752433,"GRID1"
"cg24376793",0.00433145277000508,"PPP1R12B"
"cg22291359",0.00432521828294607,"NCOR1"
"cg26472089",-0.00431643091513371,"MAPK14"
"cg23759710",0.0043109688341003,"OXER1"
"cg04986899",0.00430227102697842,"XYLT1"
"cg21862081",0.00429920908378325,"POMT2"
"cg00014104",-0.00429065151326102,"MAPK1"
"cg08298644",0.00428172218197254,"PNPLA7"
"cg13017813",0.00428136231710838,"C14orf4"
"cg15551881",0.00427820546710442,"TRAF1"
"cg17560136",-0.0042722238203782,"EPB49"
"cg07364240",0.00425607810489209,"LRRC33"
"cg02417427",-0.00425358884285974,"SERINC5"
"cg09581649",0.00424081212202527,"C16orf5"
"cg19498794",0.00422275447292006,"RASAL2"
"cg08380379",0.00421583217691762,"AOX2P"
"cg00039463",0.00420646633348186,"CREBBP"
"cg24691964",0.00420362792851002,"CD84"
"cg06568880",-0.00417654543049929,"SMG6"
"cg03447556",0.00417318741122385,"XIRP1"
"cg00988037",-0.00416904283527021,"SSBP3"
"cg16048006",0.00416659821946527,"PRKCZ"
"cg15210427",0.00416539855599566,"CST9L"
"cg04871807",0.00416156193107721,"C5orf27"
"cg15041658",-0.00413837640945407,"OSBPL3"
"cg12097222",0.00413833421708749,"EFHA2"
"cg27083614",0.00413512797530731,"MATK"
"cg17515347",-0.00413210606582687,"AIM2"
"cg13761421",0.00412904613704039,"PCSK5"
"cg23120725",0.00412618472848096,"TRPM7"
"cg21333338",0.00412592775307572,"RAP1GAP2"
"cg05468584",0.00411967697303903,"MIR202"
"cg01921066",0.00411427644399695,"ABCA4"
"cg00139477",0.0040957779339176,"ST8SIA4"
"cg21565575",-0.00408762037419767,"SLA2"
"cg05208249",-0.00407984304159617,"KIAA1199"
"cg07175582",0.00407252318031197,"LYPLAL1"
"cg17713161",0.00406322472075825,"C17orf28"
"cg09018739",0.0040477943909669,"CPNE2"
"cg05072547",0.00404084718450171,"GPRC5B"
"cg19507068",0.00403982494431469,"GNAI1"
"cg22061832",-0.0040379993661382,"ITGA6"
"cg11566441",0.00403617368905483,"DIXDC1"
"cg04381957",0.00403487202180514,"RFTN1"
"cg01103597",-0.00403189549311723,"RUNX3"
"cg03194122",0.0040101358105694,"SORCS2"
"cg08842287",0.00400838246455486,"TRAP1"
"cg24885723",-0.00399623557510686,"CA6"
"cg25955126",0.00398452619862949,"CRADD"
"cg26832294",0.0039815448771152,"TNIP3"
"cg24509104",-0.0039742746876256,"PDE3A"
"cg18934443",0.0039714456670454,"ATP6V0E2"
"cg15552493",0.00395613349067224,"MAP4K4"
"cg06577205",0.00395408827954203,"FBXL7"
"cg11743675",-0.00394752757151114,"CNTN1"
"cg04367503",0.00394248091377699,"NFIX"
"cg22708087",0.00393806460201823,"FRY"
"cg01277506",0.00393517653865885,"RNU5E"
"cg05723989",-0.0039328470827087,"C1orf133"
"cg19390271",0.00392378670808172,"CNOT2"
"cg01597553",-0.00391783556019055,"C18orf1"
"cg21380380",-0.00391731423789829,"GLCCI1"
"cg02136066",0.00390814276565933,"BTNL2"
"cg07458272",0.00389171813849405,"KIAA0355"
"cg00844155",0.00388938352917266,"VAMP1"
"cg23683497",0.00388891553578512,"CHIT1"
"cg22219450",0.00388759194536346,"ABTB2"
"cg22642498",0.00388658243239199,"NLRP12"
"cg17593512",-0.00388494840743696,"RBM47"
"cg00323842",0.00387063211763496,"ZNF608"
"cg04359558",0.00387025525089092,"LITAF"
"cg08080174",0.00386803430459804,"ZFHX3"
"cg03525069",0.00386791846871778,"COL13A1"
"cg15074047",0.00386705299524366,"SDPR"
"cg10913077",0.00386051901463702,"ARHGEF3"
"cg20975182",-0.00385842642969245,"BAI2"
"cg24054898",0.00385660697608378,"GYG1"
"cg03746345",0.00383450930055998,"MEGF8"
"cg16035633",0.00383071109149233,"NOS3"
"cg02666020",0.00382509361069835,"NCOR2"
"cg05772218",0.00382319225740582,"ITGAE"
"cg02578087",0.00382290008967771,"C3orf32"
"cg09856467",-0.00380080315859365,"TPST2"
"cg06194960",0.00379531773150022,"RHBDF1"
"cg02315619",-0.0037873817895821,"PTPRG"
"cg02623200",0.00377308849180776,"SPAG17"
"cg24569831",-0.00377055289689318,"RGMA"
"cg00391067",0.0037699784514774,"LOC100271715"
"cg21239317",0.00376937037256283,"CCDC126"
"cg12332239",0.00376914839333661,"AMZ2"
"cg18561976",-0.00376724152401232,"ICOS"
"cg02694620",0.00376634900816531,"FNDC3B"
"cg06639320",-0.00376598548047048,"FHL2"
"cg01832325",0.00376579349776812,"HBBP1"
"cg14477581",0.00375336986975427,"SMC5"
"cg26509305",0.0037490519513319,"RBKS"
"cg20212624",0.00374163000807632,"CNP"
"cg03117379",0.00373368540590976,"SNORD17"
"cg17203290",0.00373313891856667,"C8orf47"
"cg00831127",0.00372738791103623,"EPHB2"
"cg09333580",-0.00372508050842529,"BPIL1"
"cg06644515",0.00371843011369073,"SNORD47"
"cg06391412",0.00370259048419919,"FOXP1"
"cg16263722",0.00370173828024541,"MECR"
"cg05092353",0.00369082190014676,"F10"
"cg10549973",0.00368802617072486,"TOMM20L"
"cg06054159",-0.0036816175767542,"MYOM2"
"cg26189021",0.00366527409596931,"KCNC4"
"cg14539658",0.00363976465560801,"NDRG2"
"cg12011479",-0.00363137355673036,"CLDND2"
"cg11465766",-0.00362893049325134,"LRDD"
"cg25455408",0.00359251305980751,"CEACAM6"
"cg15843567",0.00358622936366977,"MYO3A"
"cg02469356",0.00358282926112781,"SMURF1"
"cg05825244",0.00358196961114661,"EBF4"
"cg09549591",0.00357650420536436,"GALNTL4"
"cg13940444",-0.00355898634150973,"RARG"
"cg18460107",0.00355881392378116,"CLEC4C"
"cg14355482",0.00355765254836784,"NCAM2"
"cg14140874",-0.00355743352582023,"SERPINH1"
"cg12269535",-0.00354616860832299,"SRF"
"cg14489199",-0.00353816290933682,"SNORD114-26"
"cg02183564",0.00353310909333434,"CCDC146"
"cg26196087",0.0035322395897839,"NOTCH2"
"cg21611682",-0.00353075525294581,"LRP5"
"cg24059623",0.00352316275169344,"MSH3"
"cg09076123",0.00352103363125269,"NCF2"
"cg20239391",0.00351916757803887,"ELMO2"
"cg02716792",-0.00351438398553257,"CMIP"
"cg15815084",-0.00351117266120163,"DGKE"
"cg06521247",-0.00351010760453939,"PRDM16"
"cg25488567",0.0035037438057779,"FAM26F"
"cg08002883",0.00350122315283137,"FGF12"
"cg25643253",0.003490411268183,"VKORC1L1"
"cg11231631",0.00347638349051649,"MS4A10"
"cg09022230",-0.00347193272057261,"TNRC18"
"cg11576424",0.00347191831861095,"C5orf56"
"cg02873991",0.00345941614230553,"C12orf77"
"cg12196294",-0.00345505333372808,"TMCC1"
"cg19775269",0.00345153616351712,"PTPRS"
"cg14480116",-0.0034513691434411,"SPRED2"
"cg04172771",-0.00344899589922223,"SNTG1"
"cg10967866",0.00344594748633579,"INPP5A"
"cg08354053",0.00343604225385643,"RHBDL3"
"cg20430816",0.00343559570179126,"STBD1"
"cg00441709",0.00343533161666163,"PAFAH1B1"
"cg23214764",-0.00343455839499759,"PRSS23"
"cg14121301",0.00342783684064427,"MEG3"
"cg12649038",-0.00341336605222327,"ABLIM1"
"cg12894711",-0.00340709012636202,"BLVRA"
"cg00582671",0.00340390477946702,"SAMD11"
"cg16080125",-0.0034022017980888,"GNA12"
"cg13634736",0.00339497262561238,"OSBPL5"
"cg07106927",-0.00339255963094328,"LY9"
"cg05520409",0.00339082057506603,"SOX8"
"cg12600749",0.00338892065347631,"PTPRN2"
"cg24040299",-0.00337345209215655,"PACS2"
"cg08655800",0.00337214770785064,"KIAA1324"
"cg16762085",0.00336707401186881,"ESYT2"
"cg15118447",0.00335303604164614,"EZR"
"cg13155823",-0.00334833814121947,"TPD52"
"cg02741521",0.00334668057783275,"CPNE9"
"cg08744726",0.00334000757057833,"ZNF767"
"cg17206420",0.00333333113768432,"SLC30A3"
"cg15711521",0.00333170182821144,"GOLIM4"
"cg24654266",-0.00333137423334691,"DPP10"
"cg23247191",0.00332929674131963,"TPCN2"
"cg18729298",-0.00332816276468189,"KCNQ1"
"cg12098569",0.00332416077136107,"ADARB2"
"cg12172478",-0.00332227137697211,"RFTN1"
"cg06701800",0.00331628064902719,"COTL1"
"cg24451117",0.00330887049178255,"MAP3K5"
"cg01294327",-0.00330835043362606,"LINGO3"
"cg22430565",0.00330612022922727,"C1orf49"
"cg07083941",0.00330525807848077,"BACH1"
"cg12167830",0.00330236195039722,"PRKAA2"
"cg17727071",0.00329547549518723,"COBL"
"cg06291107",0.00329325964335124,"BLCAP"
"cg23594656",0.00329011451235473,"TPST1"
"cg18675610",-0.00328816607905539,"ARHGAP12"
"cg13069985",0.00328399903050519,"TNXB"
"cg00040027",0.00328176000318974,"SLC25A12"
"cg24726137",-0.00327500786465115,"CYGB"
"cg24384918",-0.0032731739279656,"HECW1"
"cg25608041",0.00326600624415045,"TBC1D1"
"cg23944804",0.00326570581690355,"BTBD3"
"cg14150727",0.00325632418652213,"LGR6"
"cg21177626",-0.00325625376082507,"FAM50B"
"cg14237301",0.00325415375483209,"APOB48R"
"cg26795248",0.00325389285187639,"VWA1"
"cg01678084",0.003246765547381,"SMAD6"
"cg16677019",-0.00324592459638886,"WNT3"
"cg24304972",-0.00324329757545777,"TMEM201"
"cg00817377",0.00323282940486285,"ELN"
"cg04517263",-0.00323212319457208,"TRAF1"
"cg26607897",0.00323023159747738,"CREG1"
"cg09505918",0.00322831663828855,"FAM71A"
"cg02627227",-0.00322705151225188,"AGPAT4"
"cg09326204",0.00322522238916424,"CASR"
"cg00095018",0.00322518368892767,"MAPK13"
"cg24952640",0.00322490071362053,"TEAD4"
"cg17521120",0.00322337882371055,"SIGLEC8"
"cg14389122",-0.00321237683650444,"EDC3"
"cg10817916",-0.00321206540874029,"CYB561"
"cg15703690",-0.0032041509977635,"IL6"
"cg21577598",-0.00319632895626877,"CCDC57"
"cg20124610",-0.0031904272525641,"CARS2"
"cg06501716",0.00317336289016605,"C22orf39"
"cg09387914",0.00317008991234977,"ELOVL5"
"cg14945287",-0.00316946311254503,"ZNF410"
"cg07992484",0.00315216875203662,"UXS1"
"cg26785702",0.00314825721208442,"FOXR1"
"cg16500987",0.00313678850170708,"RPS6KA2"
"cg02030454",0.00313519773399825,"GJB3"
"cg14864184",-0.00313362052705689,"ATP11A"
"cg27405706",0.00312491507984971,"TFF1"
"cg00323305",0.00312416956210573,"THRB"
"cg00028929",0.00311782498434108,"KRT5"
"cg04222933",0.0031174234806666,"LY9"
"cg26888012",0.00311432301821238,"PSORS1C1"
"cg25988214",-0.00311334288059187,"SLC38A10"
"cg04973915",0.00310957126395979,"FBXW11"
"cg21599324",0.00310900854675183,"GRM4"
"cg03283124",-0.00310893787270736,"PCDH9"
"cg09458420",0.00310380163952569,"CAB39"
"cg14553895",-0.00309919199772379,"PIK3CA"
"cg27312979",-0.00309822102709293,"SORBS1"
"cg24124954",-0.00309171248927722,"BAT1"
"cg26457013",0.00308980711979929,"TMEM86B"
"cg06353075",0.00308597760561407,"IKBIP"
"cg17126622",0.00307415030703513,"MICALL2"
"cg00590152",0.00306977697899613,"EVPL"
"cg15488596",0.00306505790876124,"C1orf26"
"cg26296574",0.00306057674036531,"B3GNT8"
"cg06742077",0.00306039436227993,"MIR596"
"cg19234495",0.00306011669652825,"C1orf210"
"cg10991454",0.00305910435001029,"LCLAT1"
"cg10450897",0.00305896119257576,"ZFPM2"
"cg12764034",0.00305882523251066,"LHX8"
"cg11385906",0.00305704809483052,"INTS9"
"cg12054453",-0.00305556603633203,"TMEM49"
"cg07599136",0.0030536891468646,"AHRR"
"cg00793181",0.00304928300125471,"KRT72"
"cg23144852",0.00304484387472034,"OPA1"
"cg02011374",-0.00304093649033516,"ONECUT3"
"cg25670376",0.00303951464306763,"MBTD1"
"cg09662411",0.00302980276667243,"GFI1"
"cg02986451",0.00302859827486896,"CDH20"
"cg00151571",-0.00302511008085055,"MKRN1"
"cg14361895",0.00302180437267868,"SPATS2L"
"cg15651267",0.00301854543121731,"ODZ2"
"cg08864944",0.00301538923339989,"PBX1"
"cg27485108",-0.0030090504631286,"KCNK3"
"cg27278802",-0.00300591406706628,"CCDC87"
"cg09415366",-0.00300150414202416,"INPP5A"
"cg19448292",0.00299435373787855,"C20orf118"
"cg05304729",0.00299189175869432,"MNDA"
"cg14426167",0.00298935039803858,"SSH2"
"cg25938530",-0.00297807776318828,"ITIH1"
"cg02489968",0.00296852593799064,"CHST1"
"cg19585100",0.00296789519150612,"PAPLN"
"cg24642844",0.00296698590173009,"C7orf50"
"cg07194166",0.00296542027870491,"TIRAP"
"cg06483559",0.00296432838862777,"OR6X1"
"cg12626076",0.00295952046297507,"SLCO3A1"
"cg00987918",0.00295833971250829,"TRIM40"
"cg10603156",0.00295626089675436,"FRMD4A"
"cg21006425",-0.00295446622315595,"PDAP1"
"cg07493874",0.00295117990921135,"CLPTM1L"
"cg21496658",0.00294890623091974,"MME"
"cg16745930",0.00294522420905197,"HPSE2"
"cg22608646",0.00294125300278795,"DNAH17"
"cg08167110",0.0029351415223909,"FAM160A1"
"cg00241281",-0.00293219221089202,"PACS2"
"cg27410595",0.00293005449530184,"TRIM29"
"cg10466728",0.00292753192120786,"ALOXE3"
"cg00248828",0.0029238711356599,"C17orf50"
"cg05351827",0.00291405585124477,"SPEG"
"cg23791626",0.00291387920402137,"PITPNC1"
"cg07281318",0.00291067212166331,"GRID2IP"
"cg13521842",0.00290696358928707,"BEGAIN"
"cg20006618",0.00290469200467484,"SORBS2"
"cg00913556",-0.00290328783365243,"IFT140"
"cg25888881",-0.00290149671718534,"ZNF438"
"cg24934431",0.00289735270333974,"CYP17A1"
"cg00355656",0.00289513583412891,"ABCB10"
"cg06971773",0.00288930204529486,"TACR2"
"cg26344024",-0.00288700134651811,"FOXP1"
"cg15817482",0.00288223508349934,"ASB2"
"cg18912470",0.00288006165989437,"POLR2B"
"cg18805734",0.00287815005164879,"FAM60A"
"cg10259111",0.00287754978614286,"GNG2"
"cg11335171",0.00287540425933168,"HSD17B8"
"cg14527110",-0.00286044334503984,"P4HA2"
"cg14931118",-0.00286033785944104,"ERBB4"
"cg05786348",0.00285535048845939,"GPD2"
"cg18404041",0.00285420828073821,"ITIH1"
"cg26493814",-0.00285190478925829,"EIF6"
"cg09900893",0.00285021650185008,"RPS6KA1"
"cg20192387",0.00284749741957851,"RPS6KA2"
"cg14495953",0.00284320492073386,"LOC728606"
"cg10136008",0.00283724839781327,"HNMT"
"cg26543333",0.00283677083594861,"NFIC"
"cg20069688",0.00281797949082085,"STK19"
"cg10327756",0.00281420087788615,"ADAM29"
"cg06176471",0.00281362109789882,"ATP1B1"
"cg18908419",0.00281170696957776,"VCL"
"cg12956598",-0.00280462385715506,"ATG4D"
"cg20572153",0.00280245157392496,"GAS7"
"cg03116016",0.00280030188597592,"C16orf45"
"cg07793148",-0.00279697026677329,"C1orf200"
"cg03228516",-0.00278899986964658,"CSNK1E"
"cg19791262",0.00278641609105089,"HK3"
"cg21148892",0.00278134453772994,"CLEC4F"
"cg27546431",-0.00277460154974942,"MYO1C"
"cg18781031",0.00277296604198606,"FBN2"
"cg07339236",-0.00276497016276563,"ATP9A"
"cg16254756",0.0027602463672768,"SHC1"
"cg16427752",0.00275917145460808,"MSH4"
"cg09132634",0.00275340981585461,"HLA-DOA"
"cg22801913",-0.0027532928890999,"C11orf49"
"cg21205305",0.00275244263559342,"C19orf76"
"cg00220225",0.00273631211713195,"SEMA3F"
"cg13277254",0.00273165010408394,"FBXW11"
"cg10409253",0.00273106411925622,"RNF216"
"cg01330991",0.00273006829214038,"DNAH2"
"cg19880751",-0.00272948064855917,"PRF1"
"cg24682751",-0.00272528385297479,"RGMA"
"cg08893087",0.00272120786589405,"FAM69A"
"cg00162064",0.0027160363743654,"RNF220"
"cg26593228",-0.00271563057180829,"BMPR1A"
"cg12120947",0.00271239262274617,"NOTCH4"
"cg22040158",0.00271166816924513,"KCND3"
"cg02556649",0.00271157697866121,"TNNT3"
"cg25329377",-0.00271044836276164,"CSMD1"
"cg23184690",0.00270176665037392,"APOC1P1"
"cg04039397",-0.00269997024321975,"CD96"
"cg01295646",0.00269741581852398,"MYOM2"
"cg04981758",0.00269739156130351,"TESK2"
"cg07565042",0.00269340078894888,"RNF141"
"cg14186304",-0.00269170877331091,"STRBP"
"cg24263283",-0.00269052840340238,"MYO1E"
"cg05426299",0.00268943211921521,"C6orf195"
"cg24135583",-0.00268865216446139,"PTPRN2"
"cg06528816",0.00268374826991261,"TTC7A"
"cg14274896",0.00267460166014924,"FUCA2"
"cg07414525",0.00267269715984527,"CHL1"
"cg00263146",0.00267076867120607,"BASP1"
"cg02133716",0.00267064789929965,"PVT1"
"cg00259046",0.00266896254079546,"LOC441601"
"cg03582327",0.00266825344061603,"SIGLEC10"
"cg08309106",0.00266799134885187,"EXD2"
"cg10287786",-0.0026664426840266,"DSCAML1"
"cg21355793",0.00266372997838561,"COBL"
